Raw Dates,Raw Steps,Raw Percents,Raw Sleep Dates,Raw Sleep Values,Corrected Dates,Corrected Steps,Corrected Sleep,PRCP,SNOW,TMAX,TMIN
7/8/2015,"8,834",100%,7/11/2015,7:01:16,7/8/2015,8834,0,0,0,93,55
7/9/2015,"16,683",100%,7/14/2015,5:58:08,7/9/2015,16683,0,0,0,95,58
7/10/2015,"17,950",100%,7/15/2015,6:06:12,7/10/2015,17950,0,0.01,0,92,66
7/11/2015,"11,906",100%,7/16/2015,6:53:48,7/11/2015,11906,7:01:16,0.07,0,74,63
7/12/2015,"24,787",100%,7/18/2015,5:33:57,7/12/2015,24787,0,0,0,83,60
7/13/2015,"13,739",100%,7/19/2015,5:12:46,7/13/2015,13739,0,0,0,80,59
7/14/2015,"10,356",100%,7/21/2015,6:27:58,7/14/2015,10356,5:58:08,0,0,84,58
7/15/2015,"12,363",100%,7/23/2015,7:35:07,7/15/2015,12363,6:06:12,0,0,84,49
7/16/2015,"11,194",100%,7/24/2015,8:46:13,7/16/2015,11194,6:53:48,0,0,79,56
7/17/2015,"12,393",100%,7/25/2015,7:17:49,7/17/2015,12393,0,0,0,84,49
7/18/2015,"16,207",100%,7/26/2015,7:06:36,7/18/2015,16207,5:33:57,0,0,87,55
7/19/2015,"14,885",100%,7/27/2015,6:34:07,7/19/2015,14885,5:12:46,0,0,93,56
7/20/2015,"11,535",100%,7/28/2015,5:25:41,7/20/2015,11535,0,0,0,92,62
7/21/2015,"18,378",100%,7/29/2015,7:41:37,7/21/2015,18378,6:27:58,0,0,85,56
7/22/2015,"7,695",77%,7/30/2015,6:14:24,7/22/2015,7695,0,0,0,79,52
7/23/2015,"6,970",70%,7/31/2015,6:40:58,7/23/2015,6970,7:35:07,0,0,82,44
7/24/2015,"9,375",94%,8/1/2015,7:35:46,7/24/2015,9375,8:46:13,0,0,82,56
7/25/2015,"6,479",65%,8/2/2015,7:22:29,7/25/2015,6479,7:17:49,0,0,77,58
7/26/2015,"8,371",86%,8/3/2015,7:08:35,7/26/2015,8371,7:06:36,0,0,73,50
7/27/2015,"16,522",100%,8/6/2015,7:20:38,7/27/2015,16522,6:34:07,0.03,0,73,45
7/28/2015,"12,257",100%,8/7/2015,7:47:26,7/28/2015,12257,5:25:41,0,0,79,40
7/29/2015,"4,479",44%,8/8/2015,8:02:34,7/29/2015,4479,7:41:37,0,0,87,47
7/30/2015,"14,950",100%,8/9/2015,7:43:51,7/30/2015,14950,6:14:24,0,0,95,49
7/31/2015,"11,130",100%,8/10/2015,6:11:52,7/31/2015,11130,6:40:58,0,0,100,52
8/1/2015,"10,144",97%,8/11/2015,6:38:45,8/1/2015,10144,7:35:46,0,0,99,58
8/2/2015,"12,393",100%,8/12/2015,6:26:20,8/2/2015,12393,7:22:29,0,0,98,56
8/3/2015,"14,009",100%,8/13/2015,6:23:34,8/3/2015,14009,7:08:35,0,0,90,56
8/4/2015,"6,450",60%,8/14/2015,7:53:55,8/4/2015,6450,0,0,0,87,59
8/5/2015,"12,475",100%,8/15/2015,6:57:18,8/5/2015,12475,0,0,0,81,54
8/6/2015,"5,683",52%,8/16/2015,8:10:25,8/6/2015,5683,7:20:38,0,0,81,54
8/7/2015,"9,444",87%,8/17/2015,6:45:32,8/7/2015,9444,7:47:26,0,0,83,42
8/8/2015,"14,535",100%,8/18/2015,6:11:24,8/8/2015,14535,8:02:34,0,0,87,45
8/9/2015,"9,384",85%,8/19/2015,7:05:10,8/9/2015,9384,7:43:51,0.06,0,81,55
8/10/2015,"11,700",100%,8/20/2015,7:49:09,8/10/2015,11700,6:11:52,0,0,90,53
8/11/2015,"13,554",100%,8/21/2015,7:53:33,8/11/2015,13554,6:38:45,0,0,96,53
8/12/2015,"9,803",88%,8/24/2015,6:44:08,8/12/2015,9803,6:26:20,0,0,98,61
8/13/2015,"15,337",100%,8/25/2015,7:07:26,8/13/2015,15337,6:23:34,0.01,0,99,59
8/14/2015,"16,975",100%,8/26/2015,7:35:25,8/14/2015,16975,7:53:55,0,0,89,60
8/15/2015,"18,505",100%,8/27/2015,7:57:17,8/15/2015,18505,6:57:18,0,0,74,51
8/16/2015,"10,622",90%,8/28/2015,8:07:12,8/16/2015,10622,8:10:25,0,0,79,44
8/17/2015,"13,158",100%,8/29/2015,6:04:01,8/17/2015,13158,6:45:32,0,0,83,53
8/18/2015,"10,041",84%,8/30/2015,#VALUE!,8/18/2015,10041,6:11:24,0,0,87,54
8/19/2015,"12,517",100%,8/31/2015,6:40:43,8/19/2015,12517,7:05:10,0,0,91,51
8/20/2015,"14,843",100%,9/1/2015,7:17:48,8/20/2015,14843,7:49:09,0,0,86,60
8/21/2015,"15,311",100%,9/2/2015,7:03:02,8/21/2015,15311,7:53:33,0,0,75,56
8/22/2015,"12,933",100%,9/3/2015,7:55:38,8/22/2015,12933,0,0,0,76,44
8/23/2015,"8,702",71%,9/4/2015,8:05:17,8/23/2015,8702,0,0,0,83,41
8/24/2015,"13,913",100%,9/5/2015,6:56:13,8/24/2015,13913,6:44:08,0,0,85,47
8/25/2015,"10,723",87%,9/7/2015,8:33:23,8/25/2015,10723,7:07:26,0,0,87,54
8/26/2015,"12,258",100%,9/8/2015,6:22:38,8/26/2015,12258,7:35:25,0,0,92,50
8/27/2015,"11,906",97%,9/9/2015,#VALUE!,8/27/2015,11906,7:57:17,0,0,89,57
8/28/2015,"10,013",81%,9/10/2015,7:11:51,8/28/2015,10013,8:07:12,0,0,82,58
8/29/2015,"10,533",86%,9/11/2015,8:01:03,8/29/2015,10533,6:04:01,0.04,0,83,54
8/30/2015,"7,900",65%,9/12/2015,6:24:30,8/30/2015,7900,0,0.16,0,66,50
8/31/2015,"13,064",100%,9/13/2015,5:14:20,8/31/2015,13064,6:40:43,0,0,71,48
9/1/2015,"10,043",82%,9/14/2015,7:26:59,9/1/2015,10043,7:17:48,0,0,75,50
9/2/2015,"9,381",77%,9/15/2015,7:06:09,9/2/2015,9381,7:03:02,0,0,70,48
9/3/2015,"13,619",100%,9/16/2015,7:10:09,9/3/2015,13619,7:55:38,0,0,65,39
9/4/2015,"18,921",100%,9/17/2015,7:05:25,9/4/2015,18921,8:05:17,0.07,0,69,32
9/5/2015,"10,112",80%,9/18/2015,7:20:16,9/5/2015,10112,6:56:13,0.4,0,57,47
